FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
195602,14,2240,1005370,9983081,"D","02/14/1956 22:40:00",,"",""
195602,16,1810,1005371,10049834,"D","02/16/1956 18:10:00",,"",""
195603,6,2150,1005373,10005190,"D","03/06/1956 21:50:00",,"",""
195604,3,1600,1005378,10037016,"D","04/03/1956 16:00:00",,"",""
195604,2,2230,1005381,10025447,"D","04/02/1956 22:30:00",,"",""
195604,2,2145,1005385,10025440,"D","04/02/1956 21:45:00",,"",""
195605,12,1515,1005386,10040562,"D","05/12/1956 15:15:00",,"",""
195607,12,1940,1005388,10027693,"D","07/12/1956 19:40:00",,"",""
