FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
195202,13,2000,1005238,9979430,"D","02/13/1952 20:00:00",,"",""
195202,13,2130,1005239,9979434,"D","02/13/1952 21:30:00",,"",""
195203,21,1720,1005247,9983019,"D","03/21/1952 17:20:00",,"",""
195203,21,1845,1005252,9983027,"D","03/21/1952 18:45:00",,"",""
195203,21,1900,1005253,9983028,"D","03/21/1952 19:00:00",,"",""
195203,21,1900,1005254,9983029,"D","03/21/1952 19:00:00",,"",""
195203,21,2300,1005263,10126260,"D","03/21/1952 23:00:00",,"",""
195207,19,1830,1005271,10072247,"D","07/19/1952 18:30:00",,"",""
195207,1,1800,1005272,10089665,"D","07/01/1952 18:00:00",,"",""
195208,21,20,1005273,10063636,"D","08/21/1952 00:20:00",,"",""
