FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
196804,4,1,1005660,10034931,"D","04/04/1968 00:01:00",,"",""
196804,3,1944,1005662,9982108,"D","04/03/1968 19:44:00",,"",""
196804,23,1256,1005665,10083172,"D","04/23/1968 12:56:00",,"",""
196804,23,1320,1005666,10083175,"D","04/23/1968 13:20:00",,"",""
196804,3,2350,1005669,10034929,"D","04/03/1968 23:50:00",,"",""
196804,23,1300,1005670,10033531,"D","04/23/1968 13:00:00",,"",""
196805,15,2045,1005673,9983234,"D","05/15/1968 20:45:00",,"",""
196805,16,2,1005676,10006558,"D","05/16/1968 00:02:00",,"",""
196806,10,1530,1005680,10053432,"D","06/10/1968 15:30:00",,"",""
196806,11,1405,1005682,10040731,"D","06/11/1968 14:05:00",,"",""
196811,17,1245,1005685,9978436,"D","11/17/1968 12:45:00",,"",""
196812,27,1900,1005687,10049712,"D","12/27/1968 19:00:00",,"",""
