FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
196103,12,1730,1005495,9981362,"D","03/12/1961 17:30:00",,"",""
196103,12,1910,1005496,10061606,"D","03/12/1961 19:10:00",,"",""
196103,6,630,1005498,10009307,"D","03/06/1961 06:30:00",,"",""
196103,4,1704,1005499,10007400,"D","03/04/1961 17:04:00",,"",""
196103,31,720,1005500,9995462,"D","03/31/1961 07:20:00",,"",""
196104,12,1610,1005502,10118516,"D","04/12/1961 16:10:00",,"",""
196104,23,1025,1005503,10015919,"D","04/23/1961 10:25:00",,"",""
196105,5,2030,1005504,9981402,"D","05/05/1961 20:30:00",,"",""
196105,4,1740,1005507,10092633,"D","05/04/1961 17:40:00",,"",""
196106,21,1545,1005509,10111374,"D","06/21/1961 15:45:00",,"",""
196106,9,1410,1005510,10034807,"D","06/09/1961 14:10:00",,"",""
196109,24,1700,1005512,10008774,"D","09/24/1961 17:00:00",,"",""
196109,10,1650,1005513,10032701,"D","09/10/1961 16:50:00",,"",""
196111,22,830,1005515,10121218,"D","11/22/1961 08:30:00",,"",""
