FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
196701,24,1730,1005632,10009970,"D","01/24/1967 17:30:00",,"",""
196701,24,1615,1005633,10012003,"D","01/24/1967 16:15:00",,"",""
196703,12,530,1005635,10123076,"D","03/12/1967 05:30:00",,"",""
196704,21,1710,1005641,10010012,"D","04/21/1967 17:10:00",,"",""
196705,6,1845,1005643,9976147,"D","05/06/1967 18:45:00",,"",""
196705,19,1815,1005644,10041183,"D","05/19/1967 18:15:00",,"",""
196705,31,1200,1005645,10123974,"D","05/31/1967 12:00:00",,"",""
196706,23,2030,1005647,10028301,"D","06/23/1967 20:30:00",,"",""
196706,9,1750,1005648,10028244,"D","06/09/1967 17:50:00",,"",""
196707,22,1910,1005649,10053368,"D","07/22/1967 19:10:00",,"",""
196709,20,920,1005652,10135805,"D","09/20/1967 09:20:00",,"",""
196712,10,215,1005655,9985327,"D","12/10/1967 02:15:00",,"",""
196712,10,820,1005656,9985335,"D","12/10/1967 08:20:00",,"",""
196712,21,1605,1005659,10048558,"D","12/21/1967 16:05:00",,"",""
