FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
195306,8,1930,1005320,10083311,"D","06/08/1953 19:30:00",,"",""
195306,27,1545,1005322,10017052,"D","06/27/1953 15:45:00",,"",""
195302,20,1610,1005274,9979447,"D","02/20/1953 16:10:00",,"",""
195303,21,1643,1005276,10052067,"D","03/21/1953 16:43:00",,"",""
195303,14,1430,1005277,10047298,"D","03/14/1953 14:30:00",,"",""
195303,13,1819,1005278,10099776,"D","03/13/1953 18:19:00",,"",""
195304,23,1531,1005283,10099786,"D","04/23/1953 15:31:00",,"",""
195304,23,2030,1005284,10099789,"D","04/23/1953 20:30:00",,"",""
195304,28,2045,1005285,10121801,"D","04/28/1953 20:45:00",,"",""
195304,9,1745,1005287,10009733,"D","04/09/1953 17:45:00",,"",""
195304,9,2000,1005288,10004043,"D","04/09/1953 20:00:00",,"",""
195304,9,2030,1005289,10004044,"D","04/09/1953 20:30:00",,"",""
195304,30,1630,1005292,10001458,"D","04/30/1953 16:30:00",,"",""
195304,30,1630,1005293,10001459,"D","04/30/1953 16:30:00",,"",""
195305,10,1745,1005299,10052070,"D","05/10/1953 17:45:00",,"",""
195305,10,1810,1005300,10052071,"D","05/10/1953 18:10:00",,"",""
195305,16,1430,1005305,10121806,"D","05/16/1953 14:30:00",,"",""
195305,20,2100,1005306,10017035,"D","05/20/1953 21:00:00",,"",""
195305,10,1835,1005307,10146817,"D","05/10/1953 18:35:00",,"",""
195305,10,1935,1005310,10147667,"D","05/10/1953 19:35:00",,"",""
195306,8,1830,1005312,10039416,"D","06/08/1953 18:30:00",,"",""
