FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
196503,17,2050,1005561,10078009,"D","03/17/1965 20:50:00",,"",""
196503,17,2130,1005562,10078012,"D","03/17/1965 21:30:00",,"",""
196504,11,1805,1005568,10040660,"D","04/11/1965 18:05:00",,"",""
196504,11,1915,1005573,10040669,"D","04/11/1965 19:15:00",,"",""
196504,19,1550,1005574,10119392,"D","04/19/1965 15:50:00",,"",""
196504,11,2220,1005582,10083988,"D","04/11/1965 22:20:00",,"",""
196504,11,1255,1005584,10013619,"D","04/11/1965 12:55:00",,"",""
196504,11,1915,1005597,10005025,"D","04/11/1965 19:15:00",,"",""
196504,11,1945,1005599,10005027,"D","04/11/1965 19:45:00",,"",""
196504,15,1613,1005600,10126185,"D","04/15/1965 16:13:00",,"",""
196505,6,1843,1005606,10054431,"D","05/06/1965 18:43:00",,"",""
196506,7,1645,1005609,10111161,"D","06/07/1965 16:45:00",,"",""
196506,4,2100,1005611,10135683,"D","06/04/1965 21:00:00",,"",""
196506,7,1705,1005612,10111167,"D","06/07/1965 17:05:00",,"",""
196508,26,1902,1005613,10015301,"D","08/26/1965 19:02:00",,"",""
196510,7,1215,1005614,10078036,"D","10/07/1965 12:15:00",,"",""
196511,26,2300,1005615,10035987,"D","11/26/1965 23:00:00",,"",""
